Metric		Current
UNIT_SIZE_COMPONENT_SERVICES_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_SERVICES_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_SERVICES_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SERVICES_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SERVICES_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_SERVICES_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SERVICES_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SERVICES_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_SERVICES_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SERVICES_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_UTILS_NEGLIGIBLE_RISK_LOC		8
UNIT_SIZE_COMPONENT_UTILS_NEGLIGIBLE_RISK_PERCENTAGE		26.67
UNIT_SIZE_COMPONENT_UTILS_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_UTILS_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_UTILS_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_UTILS_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_UTILS_MEDIUM_RISK_LOC		22
UNIT_SIZE_COMPONENT_UTILS_MEDIUM_RISK_PERCENTAGE		73.33
UNIT_SIZE_COMPONENT_UTILS_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_UTILS_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_UTILS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_UTILS_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_UTILS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_UTILS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_UTILS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_LOC		26
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_PERCENTAGE		6.42
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_COUNT		5
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_LOC		46
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_PERCENTAGE		11.36
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_COUNT		3
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_LOC		141
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_PERCENTAGE		34.81
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_COUNT		4
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_LOC		192
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_PERCENTAGE		47.41
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_COUNT		3
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_LOC		31
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_PERCENTAGE		26.96
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_COUNT		5
UNIT_SIZE_EXTENSION_TS_LOW_RISK_LOC		22
UNIT_SIZE_EXTENSION_TS_LOW_RISK_PERCENTAGE		19.13
